account_id,source_game_id,champion,game_id_list,begin_time,end_time
GFfTeuecIeaOq5sC8wbatiM5wtHMZORGzFn19cQX4THKDLo,3653828176,30,"[3653828176, 3653825119, 3653683177, 3653603029, 3653545318, 3653525502, 3653522929, 3653225790, 3653201073, 3653160036, 3653102808, 3652857181, 3652768918, 3652716970, 3652642121, 3652603930, 3652516168, 3652432184, 3652346612, 3652359812, 3652323614, 3652265409, 3652213147, 3652220317, 3652136999, 3652151862, 3652088071, 3652120445, 3652008339, 3651938103, 3651529087, 3651523526, 3651471987, 3651374799, 3651343359, 3651245364, 3651185138, 3651035512, 3650915921, 3650812461, 3650661005, 3650537207, 3650531912, 3650495894, 3650503020, 3650407483, 3650384247, 3650369956, 3650248486, 3650264474, 3650233882, 3650222885, 3650182302, 3649850572, 3649752225, 3649659811, 3649501653, 3649455242, 3649395670, 3649360585, 3649274795, 3649237585, 3649194067, 3649142027, 3649070728, 3648990923, 3648946167, 3648387860, 3648329683, 3648228551, 3648221295, 3648139774, 3648062071, 3647873296, 3647860368, 3647675877, 3647721113, 3647586215, 3647519288, 3647563596, 3647476001, 3647399140, 3647396672, 3647409756, 3647312749, 3646569182, 3646523791, 3646446909, 3646451297, 3646325854, 3646340449, 3646294321, 3646228109, 3646219897, 3646127733, 3646141589, 3646098541, 3646093103, 3646028213, 3645949406, 3645795170, 3645810146, 3645691593, 3645673187, 3645604803, 3645545421, 3645469314, 3645452534, 3645384854, 3645316695, 3645238103, 3645229993, 3645172287, 3645027228, 3644719841, 3644526251, 3644563276, 3644479483, 3644442846, 3644375163, 3644339546, 3644052459, 3643994579, 3643925731, 3643856899, 3643789066, 3643751419, 3643703348, 3643623744, 3643517870, 3643502063, 3643440450, 3643335289]",1603664693901,1604874293901
huyYdx2SzkeuruEAmJILi-7UpBv6fS64PW7LfhjbXhnrT3Q,3653828176,3,"[3653828176, 3651129341, 3641795940, 3621773129]",1601850293901,1604874293901
RsGO82UwfVjelxt6KKqZtsdrFD7Wo_ggh3WbhUUou5Anpb9vlwv-bV60,3653828176,164,"[3653828176, 3653611601, 3652871658, 3652485478, 3652377632, 3652137385, 3652190748, 3648532277, 3648448246, 3647743609, 3645364068, 3644027686]",1603664693901,1604874293901
MgkVRCAhuRC_940xJYUOGiihC5StCfGjtyNo6vXxFXIitA,3653828176,202,"[3653828176, 3652208302, 3621494157, 3615810342, 3613103412]",1601850293901,1604874293901
KYtg4cu8WpEz7eUPlLBe3Lv-r6ZcP8bElZHBmxRCUhdLxw,3653828176,98,[3653828176],1601245493901,1604874293901
Sv7OPKoWwDsEDKHWS3tp4KlmdaesEiwuA-hqWjZs4RqbBHs,3653828176,38,"[3653828176, 3650722456, 3645835469]",1602455093901,1604874293901
XEUrySjxBWC2Q6QwUzk9KaDdOy1qUlloEicKj1AR2-PGg-A,3653828176,80,"[3653828176, 3652313285, 3652193333, 3649737643, 3649270194, 3644571862]",1603664693901,1604874293901
sHV8px24SgOVpW0m08vqnDqe97XoD1IpaEJbFQUr2FqmBg,3653828176,9,"[3653828176, 3653781013, 3653722284, 3653611601, 3653575028, 3653519594, 3653101955, 3652799171, 3652715617, 3651028206, 3651031141, 3650883589, 3650706293, 3650659905, 3648373735, 3648274685, 3648135752, 3648062071, 3647900785, 3647754675, 3646327884, 3645244026, 3643941301, 3643489143]",1603664693901,1604874293901
LqNwBLY5NtZn_Hz908lS5X93sXdPIDsyBcI1AStHqU8CyA,3653828176,62,"[3653828176, 3653770833, 3653683899, 3653549329, 3653485089, 3653460794, 3653375254, 3652472644, 3652309059, 3652269645, 3652213147, 3652194174, 3652066769, 3652061546, 3651983704, 3651922073, 3650871283, 3650662392, 3650609981, 3650495685, 3650363381, 3649597924, 3649569954, 3649501009, 3649392920, 3649313187, 3649270194, 3649235606, 3649178488, 3649165665, 3648293065, 3648232899, 3648124424, 3647542680, 3647498677, 3647495135, 3647429337, 3646668602, 3646652545, 3646528991, 3646520752, 3646426541, 3646391442, 3646375273, 3646318256, 3646192535, 3646145838, 3645420383, 3645291815, 3645204130, 3645042650, 3643593705, 3643521491]",1603664693901,1604874293901
69MPM6Ns9WYbwRHHyF2YIWvJY1wl0pSIF1hjprUpEtmURQ,3653828176,134,"[3653828176, 3653238806, 3653207882, 3653160036, 3653092244, 3652986685, 3652965797, 3652805375, 3652716970, 3652741718, 3652504710, 3652442630, 3652357913, 3652313285, 3651717232, 3651732548, 3651678653, 3651700859, 3651476538, 3651451665, 3651185138, 3651152823, 3650969916, 3650825863, 3650661005, 3650595465, 3650590901, 3650575129, 3650495894, 3649937869, 3649880656, 3649618863, 3649592047, 3649530632, 3649386961, 3649237585, 3649195962, 3649134402, 3648614119, 3648484484, 3648397815, 3648289820, 3648232685, 3648124726, 3648004125, 3647758258, 3647720464, 3647613392, 3647554343, 3647513116, 3647083762, 3647007170, 3646869124, 3646764535, 3646579625, 3646498672, 3646501199, 3646395050, 3646267725, 3645689890, 3645631372, 3645616529, 3645534887, 3645456683, 3645350917, 3645141199, 3645094761, 3645011521, 3644718141, 3644565760, 3644542107, 3644070931, 3643788454, 3643740826, 3643691290, 3643592959, 3643536413, 3643478303, 3643314411]",1603664693901,1604874293901
